nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
y des femmes de montréal - clinique d'information juridique,"Ressources et information juridique. Information juridique, documentation, soutien, accompagnement à la cour, aide pour remplir des formulaires et espace de travail avec accès à des ordinateurs",Défense des droits / Soutien aux personnes vulnérables,infojuridique@ydesfemmesmtl.org,514 866-9941 poste 293,www.ydesfemmesmtl.org,Grand Montréal
y des femmes de montréal - services jeunesse,"Projets de recherche-action visant la prévention des violences et la réduction des inégalités sociales. Matériel pédagogique et outils pour personnes intervenant auprès des jeunes: guides d'animation,...",Défense des droits / Développement enfants et familles,jeunesse@ydesfemmesmtl.org,514 866-9941 poste 431,www.ydesfemmesmtl.org,Grand Montréal
ymca centre-ville - service d'aide à l'emploi - la boussole,"Aide pour la réintégration sur le marché du travail ou pour un retour aux études. Formation préparatoire à l'emploi et intégration à un groupe de recherche d'emploi. Information, rédaction de C",Emploi / Soutien aux personnes vulnérables,laboussole@ymcaquebec.org,514 849-8062,ymcaquebec.org,Grand Montréal
zoothérapie québec,Intervention individuelle ou de groupe à l'aide d'animaux familiers. Fudge à l'école: éducation et prévention des morsures. Consultation et évaluation des besoins. Supervision institutionnelle et priv...,Santé / Développement enfants et familles,info@zootherapiequebec.ca,514 279-4747,zootherapiequebec.ca,Grand Montréal
à deux mains,Information et références. Services de santé communautaire: cliniques médicales sur rendez-vous. Aide alimentaire d'urgence. Distribution de condoms et de lubrifiant. Distribution de produits d'hygièn...,Santé / Bien Etre Alimentaire,info@headandhands.ca,514 481-0277,headandhands.ca,Grand Montréal
école de la relève,Services aux jeunes en difficulté. École de la Relève: formation académique de niveau secondaire jumelée avec l'apprentissage des arts martiaux et des ateliers d'employabilité. Programme de francisati...,Éducation et formation / Soutien aux personnes vulnérables,info@ecoledelareleve.ca,514 325-9486 poste 0,www.ecoledelareleve.ca,Grand Montréal
école lucien-guilbault,"École primaire et secondaire spécialisée pour élèves avec des difficultés graves d'apprentissages. Enseignement personnalisé en étroite collaboration entre le personnel enseignant et orthopédagogue, o...",Éducation et formation,info@lucien-guilbault.ca,514 334-2189,lucien-guilbault.ca,Grand Montréal
école peter hall,Centre administratif. Campus primaire et secondaire.,Éducation et formation / Santé,siegesocial@peterhall.qc.ca,514 748-6727,peterhall.qc.ca,Grand Montréal
école peter hall - côte-vertu,Programmes de niveau secondaire francophone et anglophone.,Éducation et formation / Santé,cote-vertu@peterhall.qc.ca,514 747-4075,peterhall.qc.ca,Grand Montréal
école peter hall - ouimet,Programmes de niveau primaire francophone et anglophone.,Éducation et formation / Santé,ouimet@peterhall.qc.ca,514 748-1050,peterhall.qc.ca,Grand Montréal
église catholique ukrainienne saint-michel-archange,"Dons de denrées non périssables, de produits d'hygiène, de vêtements et de couches pour bébé pour les personnes ukrainiennes réfugiées.",Soutien aux personnes vulnérables / Bien Etre Alimentaire,stmi1911@gmail.com,514 521-2234,,Grand Montréal
église saint-jacques syriaque orthodoxe,"Aide et assistance à l'accueil des nouveaux arrivants syriens. Soutien, information, intégration et suivi. Parrainage de réfugiés. Aide pour remplir les formulaires. Jumelage de dons: mise en contact ...",Autres missions sociales / Soutien aux personnes vulnérables,immigrationst-jacques@outlook.com,514 334-6993,,Grand Montréal
étape (l'),Services d'intégration et de maintien en emploi pour les personnes en situation de handicap.,Emploi / Soutien aux personnes vulnérables,letape@letape.org,514 526-0887,letape.org,Grand Montréal
étoile de pacho (l') - réseau d'entraide pour parents d'enfants handicapés,"Réseau d'entraide pour parents d'enfants vivant avec un handicap. Programme d'accueil: jumelage entre parent et intervenant·e à domicile, écoute, soutien et informations. Program",Santé / Soutien aux personnes vulnérables,info@etoiledepacho.ca,514 798-6173,etoiledepacho.ca,Grand Montréal
académie stella chien d'assistance,"Programme d'entraînement pour les chiens d'assistance qui travaillent auprès de personnes atteintes d'un stress post-traumatique (TSPT), d'un trouble de stress opérationnel (TSO) ou d'un trouble d'anx...",Santé / Soutien aux personnes vulnérables,info@stellapourlavie.ca,,stellapourlavie.ca,Provincial
accompagnateur (l'),"Plateforme web permettant aux parents de personnes handicapées de trouver des ressources. Ressources variées: éducation, habitation, loisirs, ressources financières, santé, services aux familles, tran...",Santé / Développement enfants et familles,info@laccompagnateur.org,514 382-0310 poste 402,laccompagnateur.org,Provincial
acouphènes québec,Service de renseignements téléphoniques sur les acouphènes. Soutien par téléphone. Référence vers les ressources professionnelles régionales. Groupe d'entraide mensuel ouvert.,Santé / Soutien aux personnes vulnérables,info@acouphenesquebec.org,1 877 276-7772,acouphenesquebec.org,Provincial
acte d'amour !,"Aide pour femmes immigrantes, personnes aînées et jeunes.Personnes aînées Envoi: cartes d'amitié et de réconfort, jeux de mémoire par la poste. Appels d'amitiés. Ateliers de percussions et ateliers de...",Soutien aux personnes vulnérables / Développement communautaire,actedamour.ca@gmail.com,514 419-3632,www.actedamour.ca,Provincial
action autisme,"Soutien aux parents: accompagnement, remboursement de formations et accès à une matériathèque offrant des équipments spécialisés (jeux, livres, modules, etc.). Soutien aux personnes autistes adultes: ...",Santé / Développement enfants et familles,actionautime@hotmail.com,450 627-2250,actionautisme.org,Provincial
action hypoglycémie québec,"Écoute téléphonique. Cours dans le but de venir en aide aux personnes aux prises avec les problèmes que pose l'hypoglycémie. Consultation, information, référence, éducation, dépistage et soutien diété...",Santé / Éducation et formation,info@hypoglycemie.qc.ca,450 325-1163,hypoglycemie.qc.ca,Provincial
action santé travesti(e)s et transsexuel(le)s du québec,"Soutien et accompagnement: rendez-vous médicaux (cliniques et hôpitaux), rendez-vous légaux (avocats et à la cour) et aux services sociaux. Aide à l'accès aux informations relatives aux enjeux et",Santé / Soutien aux personnes vulnérables,info@astteq.org,514 847-0067 poste 207,cactusmontreal.org/soutien-aux-personnes-trans,Provincial
action travail des femmes du québec,"Séances d'information portant sur le harcèlement en emploi, le droit et les recours, les emplois non-traditionnels et l'égalité en emploi, reconnaissance des acquis et compétences. Suivi individuel et...",Emploi / Défense des droits,actionf@atfquebec.ca,514 768-7233,atfquebec.ca,Provincial
adhara,"Services de réinsertion pour les femmes judiciarisées. Programme mère-enfant à l'Établissement de détention Leclerc de Laval: visites mère-enfant, activités et fêtes familiales, ateliers divers (compé...",Soutien aux personnes vulnérables / Défense des droits,info@adharaqc.org,1 877 229-9891,cfad.ca,Provincial
aide aux personnes obèses handicapées du québec,Défense des droits. Vente ou prêt d'équipement spécialisé pour la marche. Documentation.,Défense des droits / Santé,cdat@qc.aira.com,514 254-8415,,Provincial
aide aux trans du québec,"Soutien Ligne d'écoute, d'information et de référence. Rendez-vous individuel: accompagnement, écoute active, information. Groupes de discussion par vidéoconférence. Programme d'aide d'urgence: cartes...",Soutien aux personnes vulnérables / Santé,info@aideauxtrans.com,1 855 909-9038 poste 3,aideauxtrans.com/fr,Provincial
