nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
pracom,"Centre de jour et de soir en santé mentale. Activités sociales, sportives et culturelles. Développement de l'autonomie, développement des habiletés sociales. Programme d'aide et d'intégration sociale ...",Santé / Soutien aux personnes vulnérables,info@pracom.ca,514 527-6766,www.pracom.ca,Montréal
premier arrêt - ymca centre-ville,"Service assuré par l'équipe d'intervention de première ligne de Dialogue. Programme d'aide à l'itinérance, avec des travailleur·euse·s de rue qualifié·e·s en accompagnement et soutien des personnes vu...",Soutien aux personnes vulnérables,premier.arret@ymcaquebec.org,514 849-8062 poste 21775,www.ymcaquebec.org/fr/programmes-communautaires/prevention-de-l-exclusion/ymca-aide-a-l-itinerance-premier-arret,Montréal
prise ii,Ressource alternative en santé mentale. Programme thérapeutique. Espace Jeunes destiné au 16 à 35 ans. Soutien et accompagnement aux études collégiales et universitaires. Démarche vers l'emploi et le ...,Santé / Soutien aux personnes vulnérables,info@prise2sm.ca,514 858-0111,prise2sm.org,Montréal
projet intégration montréal,Formation rémunérée en entreprise d'insertion. Formation complémentaire en francisation disponible. Possibilité d'entrée progressive avec ateliers préparatoires.,Emploi / Éducation et formation,integration2@collectif.qc.ca,514 270-4905 poste 230,collectif.qc.ca,Montréal
projet logement montréal,"Consortium d'organismes de lutte à l'itinérance composé de la Maison du Père, de la Mission Bon Accueil, de la Mission Old Brewery et de l'Accueil Bonneau. Services d'un·e agent·e de logement: accompa...",Logement / Soutien aux personnes vulnérables,info@projetlogementmontreal.org,514 845-0168 poste 307,www.projetlogementmontreal.org,Montréal
projets autochtones du québec,Intervention de crise. Repas chauds. Programme Nouveau Départ: soutien holistique aux autochtones nouvellement arrivés en ville. Refuges d'urgence: un étage pour les femmes et un pour les hommes. Cham...,Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@paqc.org,514 879-3310,paqc.org,Montréal
projets autochtones du québec - clinique de proximité,"Clinique de proximité en santé autochtone de Projets Autochtones du Québec, en collaboration avcc Médecins du Monde. Prescription et soutien pour la prise de médicaments. Soins des plaies et traiteme",Santé / Soutien aux personnes vulnérables,myriam.kaszap@medecinsdumonde.ca,438-867-5214,paqc.org,Montréal
projets autochtones du québec - logements de transition,Logements de transition pour une période de 3 mois à 3 ans. Programme d'intervention personnalisé. Soutien à l'obtention de l'aide sociale. Programme de compétences de vie et de confiance en soi. C,Soutien aux personnes vulnérables / Logement,jade.touchefeu@paqc.org,514 879-3310,www.paqc.org/fr/programme-transition,Montréal
projets autochtones du québec - logements permanents,"Centre d'hébergement permanent subventionné pour personnes autochtones. Séjour dans une chambre, d'une durée indéfinie, selon les besoins de la personne. Soutien psychosocial par une équipe d'interven",Logement / Soutien aux personnes vulnérables,coordo.logements.intervention@paqc.org,514 879-3310,www.paqc.org/fr/accueil,Montréal
projets autochtones du québec - maison annagiarvik,"Logements de transition sobres pour les populations autochtones. Séjour pouvant aller jusqu'à 5 ans. Espaces communs: cuisine, salles d'intervention, buanderie. Intervenant·e·s sur place.",Soutien aux personnes vulnérables / Logement,thomas.addison@paqc.org,514 284-0117,paqc.org,Montréal
projets autochtones du québec - refuge d'urgence 1,Refuge d'urgence à haut seuil et à sobriété exigée. Un étage réservé aux femmes et un autre aux hommes. Services de soutien psychosocial adaptés aux besoins individuels. Soutien 24/7 offert par une éq...,Soutien aux personnes vulnérables / Logement,sheltercaseworker@paqc.org,514 879-3310,www.paqc.org/fr/refuge,Montréal
projets autochtones du québec - refuge d'urgence 2,Refuge d'urgence à seuil d'exigence adapté. Un étage réservé aux femmes et un autre aux hommes. Services de soutien psychosocial adaptés aux besoins individuels. Soutien 24/7 offert par une équipe d'i...,Soutien aux personnes vulnérables / Logement,sheltercoordinatorPAQ2.Intervention2@paqc.org,514 879-3310,www.paqc.org/fr/refuge,Montréal
prolongement à la famille de montréal (un),"Éducation communautaire. Halte-répit de jour: arts plastiques, ateliers d'échanges et de discussions, exercices physiques, etc. Intégration aux loisirs communautaires et sorties culturelles. Activités...",Santé / Développement communautaire,info@upfm.ca,514 504-7989,www.upfm.ca,Montréal
prévention côte-des-neiges-notre-dame-de-grâce - halte-chaleur,"Halte-chaleur. Refuge de nuit. Café, repas chauds, buanderie, douches. Lieu de rassemblement, de discussion, de repos et de répit. Références et appui dans les démarches.",Soutien aux personnes vulnérables / Bien Etre Alimentaire,halte-chaleur@preventioncdnndg.org,514 664-2152,www.preventioncdnndg.org,Montréal
racine croisée,Banque alimentaire. Activités d'intégration culturelle et socioprofessionnelle pour personnes des minorités ethnoculturelles. Information et accompagnement à l'établissement de personnes nouvellement ...,Bien Etre Alimentaire / Autres missions sociales,info@racinecroisee.ca,514 225-3448,bienfaisance.racinecroisee.ca,Montréal
