nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
centre juif cummings pour aînés,"Services aux personnes aînées, principalement de la communauté juive. Information et référence. Intervention individuelle et suivi. Activités culturelles et sociales. Popote roulante cachère. Défense ...",Santé / Bien Etre Alimentaire,info@cummingscentre.org,514 343-3514,cummingscentre.org/fr,Grand Montréal
centre lartigue,"Cours de francisation à temps plein, à temps partiel ou à distance.",Éducation et formation / Autres missions sociales,c-lartigue@csdm.qc.ca,514 596-4433,centre-lartigue.cssdm.gouv.qc.ca,Grand Montréal
centre lgbtq2+ ouest-de-l'ile,Club social pour jeunes adultes. Club social pour adolescent·e·s deux fois par semaine. Groupe de soutien pour parents et familles. Groupe de soutien hebdomadaire pour personnes trans et issues de la ...,Défense des droits / Soutien aux personnes vulnérables,info@lgbtq2centre.com,514 794-5428,lgbtq2centre.com,Grand Montréal
centre montréalais pour les troubles d'apprentissage,Soutien aux personnes vivant avec des troubles d'apprentissage ou un TDAH. Information et référence. Services pour les parents d'enfants neurodivergents: coaching individuel et groupes de soutien. Pro,Santé / Développement enfants et familles,info@ldmontreal.ca,514 482-7196,ldmontreal.ca,Grand Montréal
chantier d'afrique du canada,"Soutien aux personnes issues des minorités ethnoculturelles, particulièrement d'origine africaine, dans leur processus d'intégration sociale, culturelle et économique. Carrefour entreprendre: formatio...",Autres missions sociales / Emploi,info@chafric.ca,514 767-6200,,Grand Montréal
"chrysalide, centre d'accompagnement aux familles monoparentales (la)",Logement transitoire temporaire: durée de 1 à 3 ans avec soutien communautaire. Réalisation d'un projet socioprofessionnel. Activités et projets variés.,Soutien aux personnes vulnérables / Logement,info@chrysalide445.org,514 875-9529,www.reseauhabitationfemmes.org,Grand Montréal
clef pour l'intégration au travail des immigrants,"Services pour l'installation et la recherche d'emploi. Pré-départ: services avant l'arrivée, assistance et informations facilitant l'intégration. Premières démarches d'installation: conseils pratiques...",Emploi / Autres missions sociales,accueil@citim.org,514 987-1759,www.citim.org,Grand Montréal
clinique d'information juridique à mcgill,Clinique d'information juridique et de représentation. Formulaire de demande d'information juridique: cliquer ici Référencement et ressources en ligne: cliquer ici Représentation étudiante: conseil et...,Défense des droits / Éducation et formation,pub.licm@mail.mcgill.ca,438 944-6545,licm.ca/fr,Grand Montréal
clinique droits devant,"Information concernant les contraventions (procédure pénale), références. Aide à l'accès aux dossiers judiciaires et à la formulation de plaintes contre les abus policiers. Accompagnement aux instance...",Défense des droits / Soutien aux personnes vulnérables,intervention@cliniquedroitsdevant.org,514 603-0265,www.cliniquedroitsdevant.org,Grand Montréal
clinique juridique itinérante,"Promotion de l'accès à la justice des personnes itinérantes. Information juridique, références et accompagnement. Assistance dans les démarches de régularisation de dettes judiciaires. Aide pour organ...",Défense des droits / Soutien aux personnes vulnérables,info@cji-mlc.org,514 222-7274,www.cji-mlc.org,Grand Montréal
clinique multidisciplinaire horizon,Service de santé mentale. Psychologie. Ergothérapie. Sexologie. Art-thérapie. Psychothérapie. Thérapie en relation d'aide.,Santé,info@centredaidedebordeaux.com,514 374-3445,www.cmhorizon.com,Grand Montréal
clinique médicale l'actuel,Services de santé généraux et spécialisés ITSS. Médecine générale. Clinique PPE: prophylaxie post-exposition au VIH. Dépistage du VIH avec résultats rapides (10 minutes). Prise en charge rapide de tou...,Santé / Soutien aux personnes vulnérables,info@lactuel.ca,514 524-1001,cliniquelactuel.com,Grand Montréal
clé des champs - réseau d'entraide pour personnes souffrant de troubles anxieux (la),Groupes d'entraide composés de 10 rencontres hebdomadaires. Information et outils pour gérer l'anxiété. Liste d'organismes oeuvrant dans le domaine. Boutique de ressour,Santé / Soutien aux personnes vulnérables,lacle@lacledeschamps.org,514 334-1587,lacledeschamps.org,Grand Montréal
collectif,"Accompagnement et accueil des personnes immigrantes. Service d'aide à l'emploi, centre cyberemploi et formations. Ateliers de conversation: français et anglais. Ateliers d'informatique de base: suite ...",Autres missions sociales / Emploi,info@cfiq.ca,514 279-4246,www.cfiq.ca,Grand Montréal
comité de soutien aux parents étudiants de l'uqam,Représentation et défense des droits des parents aux études. Aide alimentaire. Friperie pour les enfants. Halte-garderie. Bourses d'études. Sorties familiales. Ateliers thématiques. Références et acco...,Développement enfants et familles / Défense des droits,info@cspeuqam.ca,514 987-3000 poste 5669,cspeuqam.com,Grand Montréal
