nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
fierté agricole,"Regroupement de personnes LGBT+ en milieu agricole et rural afin de briser l'isolement. Information et références. Activités sociales: picnic, visite sur installation agricole, etc. Réseautage et prom...",Soutien aux personnes vulnérables / Développement communautaire,info@fierteagricole.org,418 717-3892,www.fierteagricole.org,Provincial
fondation ages,Fondation pour l'avancement de la gérontologie et la gériatrie sociales. Répertoire en ligne. Chroniques Santé. Laboratoire en santé des personnes aînées. Développement de la gériatrie sociale. Format...,Santé,info@fondationages.org,581 700-7068,geriatriesociale.org,Provincial
fondation asista,Chiens d'assistance pour personnes présentant un trouble de santé mentale ou un trouble du spectre de l'autisme.,Santé / Soutien aux personnes vulnérables,info@asista.ca,450 781-1200 poste 3031,asista.ca/fr,Provincial
fondation berthiaume-du-tremblay (la),Promotion du mieux-être des personnes aînées. Met de l'avant des projets novateurs qui soutiennent le bien vieillir. Sensibilise aux approches à mettre de l'avant pour soutenir un vieillissement en sa...,Santé,fondation@berthiaume-du-tremblay.com,514 382-8018,www.berthiaume-du-tremblay.com,Provincial
fondation cancer du sein du québec,"Soutien aux personnes touchées par le cancer du sein. Écoute téléphonique, références et information. Soutien psychosocial. Services virtuels: télémédecine, forum, groupe Facebook, capsules vidéos édu...",Santé / Soutien aux personnes vulnérables,info@rubanrose.org,1 877 990-7171,rubanrose.org,Provincial
fondation cheshire (québec) (la) - résidence pat khal sunshine,Logement de transition pour personnes ayant des problèmes de santé mentale. Soutien à l'intégration dans la communauté.,Santé / Logement,fondationcheshire@gmail.com,514 472-0133,www.westislandphysicallydisabled.ca/index.php,Provincial
fondation cypihot-ouellette,"Soutien financier aux personnes vivant avec une déficience visuelle. Soutien financier aux études: bourse soutien, bourse mérite, bourse excellence. Soutien financier pour l'inclusion sociale: activit...",Santé / Soutien aux personnes vulnérables,info@cypihotouellette.org,,cypihotouellette.org,Provincial
fondation de l'ordre des dentistes du québec,Promotion de la santé buccodentaire. Éducation aux mesures de prévention des maladies buccodentaires. Gestion de fonds pour l'amélioration de l'accessibilité des soins dentaires auprès des personnes v...,Santé / Éducation et formation,fondation@fodq.ca,514 875-2266,fodq.ca,Provincial
fondation des auberges du coeur,Appui financier à la mission des Auberges du coeur. Promotion de l'action des Auberges. Sensibilisation à la situation des personnes sans-abri et des jeunes en difficulté.,Soutien aux personnes vulnérables,info@aubergesducoeur.com,1 866 992-6387,www.aubergesducoeur.com,Provincial
fondation des gouverneurs de l'espoir,Aide financière mensuelle sous forme de cartes-cadeaux.,Soutien aux personnes vulnérables / Santé,info@gouverneursdelespoir.org,438 838-8588,fondationdesgouverneurs.org,Provincial
fondation des sourds du québec (la),"Défense des droits et aide financière pour les personnes vivant avec une déficience auditive. Aide financière pour se procurer du matériel scolaire, faire des sorties et des activités éducatives, avoi...",Défense des droits / Santé,information@fondationdessourds.net,1 800 463-5617,www.fondationdessourds.net,Provincial
fondation dr julien,"Développement, enseignement et promotion de la pédiatrie sociale. Centres de pédiatrie sociale. Programme garage à musique. Services directs aux enfants.",Santé / Développement enfants et familles,communications@fondationdrjulien.org,514 527-3777,fondationdrjulien.org,Provincial
fondation du rein (la) - division du québec,Financement de la recherche sur les maladies rénales. Sensibilisation au don d'organes et à la prévention. Aide aux patient·e·s: jumelage avec un pair. Auto-Rein: récupération de voitures comme don.,Santé / Soutien aux personnes vulnérables,info@reinquebec.ca,1 800 565-4515,rein.ca,Provincial
fondation gus,"Aide aux personnes sinistrées sans ressources. Hébergement à court terme: durée une journée. Dons de biens essentiels: vêtements, électroménager, matelas, nourritures, etc. Services professionnels apr...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@fondationgus.com,,www.fondationgus.com,Provincial
fondation jean marc paquette - safir,Aide financière rapide pour personnes atteintes d'un cancer du sein. Aide par paiement de certaines factures.,Santé,fjmp@fjmp.org,514 461-2088,www.fjmp.org/fr/safir,Provincial
fondation jeunes en tête,Atelier La Base de sensibilisation à la santé mentale destiné aux élèves de 11 à 13 ans. Solidaires pour la santé mentale: programme de prévention et de sensibilisation à la dépression chez les adoles...,Santé / Développement enfants et familles,info@fondationjeunesentete.org,514 529-1000,fondationjeunesentete.org,Provincial
fondation marie-vincent,"Prévention de la violence sexuelle faite aux enfants et aux adolescent·e·s. Sensibilisation auprès des enfants, parents et personnes intervenantes des milieux communautaire, scolaire et de la santé. S...",Soutien aux personnes vulnérables / Développement enfants et familles,info@marie-vincent.org,514 285-0505,marie-vincent.org,Provincial
fondation marthe laverdière,"Soutien aux familles ayant un enfant vivant avec un handicap. Aide financière pour les frais de répit, des thérapie (ergothérapeutes, physiothérapeutes, etc.) et l'acquisition d'aides techniques.",Santé / Développement enfants et familles,fondationmarthelaverdiere@hotmail.com,,www.fondationmarthelaverdiere.com,Provincial
fondation matthew coustou d'un continent à l'autre,"Soutien aux enfants vivant un handicap ou une maladie. Soutien personnalisé pour les familles: écoute téléphonique, groupe de soutien, référence, information. Santé des enfants: achat d'équipements ad...",Santé / Développement enfants et familles,info@fondation-matthewcoustou.org,514 373-9000,fondation-matthewcoustou.org/,Provincial
fondation mira (la),Promotion de l'autonomie et de l'intégration des personnes vivant avec un handicap. École de chiens-guides: chiens développés et entraînés pour répondre aux besoins en adaptation et réadaptation. Récu...,Santé / Soutien aux personnes vulnérables,info@mira.ca,1 800 799-6472,www.mira.ca,Provincial
fondation noël au printemps,Aide financière pour le paiement des traitements médicaux des enfants vivant avec une maladie ou un handicap.,Santé / Développement enfants et familles,info@fnap.ca,,fnap.ca,Provincial
fondation olo,"Distribution de suppléments alimentaires pour les personnes enceintes: oeufs, lait, légumes surgelés et multivitamines prénatales. Suivi individualisé auprès des parents et des familles.",Développement enfants et familles / Bien Etre Alimentaire,info@fondationolo.ca,1 888 656-6372,www.fondationolo.ca,Provincial
fondation papillon,"Les Répits Papillon accueillent des personnes en situation de handicap, âgées de 3 ans et plus, pour un séjour d'un week-end, afin de permettre à leurs proches de se reposer.Camp de vacances adapté Ca...",Santé / Développement enfants et familles,info@fondationpapillon.ca,1 877 937-6171,fondationpapillon.ca,Provincial
fondation portraits d'étincelles,Soutien aux parents vivant un deuil périnatal. Services de photographie professionnelle pour prendre des photos d'un nourrisson décédé avant ou à la naissance. Service de retouche de photos prises par...,Santé / Soutien aux personnes vulnérables,info@portraitsdetincelles.com,1 877 346-9940,portraitsdetincelles.com,Provincial
fondation pour l'alphabétisation (la),Analyse des enjeux liés à l'analphabétisme et des solutions à mettre en place pour l'enrayer. La lecture en cadeau: programme dédié aux enfants de 0 à 12 ans vivant en milieux défavorisés visant à pré...,Éducation et formation / Développement enfants et familles,info@fondationalphabetisation.org,514 289-1178,fondationalphabetisation.org,Provincial
fondation québécoise du cancer,"Soutien aux personnes touchées par le cancer. Information: Ligne Info-Cancer, Bibliothèque Info-Cancer. Jumelage téléphonique. Activités et groupes d'entraide. Art-thérapie. Bien-être physique: massot...",Santé / Soutien aux personnes vulnérables,cancerquebec.mtl@fqc.qc.ca,1 800 363-0063,cancerquebec.ca,Provincial
