nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
abri de villeray,"Hébergement jusqu'à 21 jours. Hébergement d'urgence de nuit. Accueil et intervention. Aide dans les démarches. Douches, repas chauds, collations et café pour personnes itinérantes hébergées. Distribut...",Soutien aux personnes vulnérables / Logement,info@refugecdi.com,514 379-2800,,Montréal
accordailles (les) - coopérégions,Accompagnement pour les personnes aînées vivant en région et devant se rendre à Montréal pour recevoir des soins de santé. Aide pour la planification du séjour. Aide pour trouver un hébergement aborda...,Santé / Soutien aux personnes vulnérables,info@accordailles.org,514 282-1553,accordailles.org/cooperegions,Montréal
accueil bonneau,Accueil de personnes en situation ou à risque d'itinérance et accompagnement au quotidien dans la réponse aux besoins essentiels et dans la recherche d'une meilleure qualité de vie et d'un mieux-être....,Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@accueilbonneau.com,514 845-3906,www.accueilbonneau.com,Montréal
accueil bonneau - maison claire-ménard,Hébergement à durée indéterminée.,Soutien aux personnes vulnérables / Logement,soutien.hebergement@accueilbonneau.com,514 845-3906 poste 0-245,www.accueilbonneau.com,Montréal
accueil bonneau - récupération d'articles usagés,"Récupération sur place d'articles usagés: nourriture périssable et non périssable, vêtements et livres. Articles les plus recherchés: bottes d'hiver, rasoirs, ceintures, caleçons, pantalons Jeans, cha...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,gestionnaire.saa@accueilbonneau.com,514 845-3906 poste 222,www.accueilbonneau.com,Montréal
action autonomie - collectif pour la défense des droits en santé mentale de montréal,"Relation d'aide, soutien, accompagnement et référence. Information sur les droits et recours. Défense des droits, sensibilisation et formation. Représentation et press",Santé / Défense des droits,lecollectif@actionautonomie.qc.ca,514 525-5060,www.actionautonomie.qc.ca,Montréal
action femmes et handicap,"Promotion et défense des droits et intérêts. Forum de discussion, groupe d'entraide et de soutien. Actions collectives. Ateliers d'éducation populaire. Information et référence.",Défense des droits / Soutien aux personnes vulnérables,coordo@actionfh.ca,514 218-6368,actionfh.ca,Montréal
action main-d'oeuvre,"Consultation individuel et développement de l'employabilité. Aide à la recherche d'emploi. Préparation aux entrevues, présentation aux employeur·euse·s, si requis, et adaptation de l'environnement de ...",Emploi / Soutien aux personnes vulnérables,info@actionmaindoeuvre.ca,514 721-4941,www.actionmaindoeuvre.ca,Montréal
agence ometz,"Services d'intervention, de prévention et de soutien visant l'amélioration de la qualité de vie. Soutien en santé mentale. Consultation pour familles, couples et personnes seules. Éducation en matière...",Santé / Soutien aux personnes vulnérables,info@ometz.ca,514 342-0000 poste 3333,www.ometz.ca,Montréal
"agir: action lesbienne, gai, bisexuelle, trans et queer (lgbtq) avec les immigrants et réfugiés","Action lesbienne, gai, bisexuelle, trans et queer (LGBTQ) avec les immigrants et réfugiés : Soutien et défense des droits des nouvelles·aux migrant·e·s issu·e·s des communautés lesbienne, gaie, bisexu...",Défense des droits / Autres missions sociales,info@agirmontreal.org,438 408-7941,www.agirmontreal.org/fr/accueil,Montréal
aigle bienfaisant,"Services d'aide matérielle, en partenariat avec Oeuvre Jojo dépannage. Dons de biens essentiels: vêtements, petits articles de cuisines, petits meubles, etc. Jumelage de gros dons: gros meubles, élect...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,aiglebienfaisant@gmail.com,514 619-5114,,Montréal
aim croit,"Développement de l'employabilité. Placement, intégration et maintien en emploi. Counselling individuel et formation de groupe afin de permettre l'identification et le développement de solutions créati...",Emploi / Soutien aux personnes vulnérables,emploi@aimcroitqc.org,514 744-2944,aimcroitqc.org,Montréal
alcooliques anonymes,"Soutien téléphonique. Groupes d'entraide hebdomadaires, auto-animés ou animés par un membre. Liste des réunions en ligne: m.aa87.org/meetings Réunions disponibles avec interprète LSQ pour personnes ma...",Soutien aux personnes vulnérables / Santé,aide@aa87.org,1 866 544-6322,www.aa87.org,Montréal
alliance pour l'accueil et l'intégration des immigrant-es,"Information et référence. Objectif Intégration (OI): cours d'intégration intensif ou à temps partiel, en personne ou à distance, parlant de l'histoire du Québec, du marché de l'emploi, etc. Aide",Autres missions sociales / Emploi,info@alac.qc.ca,514 737-3642,www.alac.qc.ca,Montréal
"alternative (l'), centre de jour en santé mentale","Centre de jour en santé mentale pour adultes, proposant un milieu de vie convivial et chaleureux en vue de favoriser l'entraide et le rétablissement par le biais d'activités quotidiennes, de rencontre...",Santé / Soutien aux personnes vulnérables,info@lalternativecentredejour.org,514 640-1200,lalternative-cdj.org,Montréal
anonyme (l'),"Unité mobile Le Transit: distribution de matériel de consommation et de protection, partout à Montréal, sur appel. Unité mobile L'Autobus: soutien psychosocial, matériel de protection et accès à un es...",Soutien aux personnes vulnérables / Santé,administration@anonyme.ca,514 842-1488,anonyme.ca,Montréal
arborescence,"Soutien aux proches des personnes vivant avec un trouble de santé mentale. Ligne d'écoute et de références. Groupes de soutien. Rencontres individuelles, de couple et familiales. Conférences et atelie...",Santé / Soutien aux personnes vulnérables,accueil@arborescence.quebec,514 524-7131,www.arborescence.quebec,Montréal
arche-montréal (l'),"Services et hébergement pour adultes vivant avec une déficience intellectuelle. Foyers d'accueil: l'Arc-en-ciel, l'Esquif, la Colombe, le Rameau, la Passerelle. Centre de jour: activités artistiques, ...",Santé / Soutien aux personnes vulnérables,info@larche-montreal.org,514 761-7307,larche-montreal.org,Montréal
armée du salut - centre booth - le gouvernail,Hébergement de transition à court ou long terme avec soutien communautaire.,Soutien aux personnes vulnérables / Logement,mtl.booth@armeedusalut.ca,514 932-2214 poste 307,centreboothmontreal.ca/gouvernail,Montréal
armée du salut - services communautaires et d'aide à la famille - ville émard,Aide alimentaire. Paniers de Noël pour les membres. Fournitures scolaires. Aide aux personnes immigrantes et réfugiées. Assemblées culturelles. Référence vers les autres ress,Bien Etre Alimentaire / Autres missions sociales,tsamontrealcitadel@gmail.com,514 766-2155 poste 5,www.montrealcitadel.com,Montréal
assemblée chrétienne évangélique le refuge de paix - clinique d'impôts,Clinique d'impôts avec ou sans rendez-vous ou par dépôts. Visites à domicile pour personnes confinées à la maison.,Soutien aux personnes vulnérables / Autres missions sociales,refugedepaix@gmail.com,514 245-4498,,Montréal
association cigogne,Soutien aux parents aux études pour concilier études et rôle parental. Écoute. Cafés-rencontres. Comptoir vestimentaire. Coin allaitement. Poste de travail. Cuisine collective mensuelle. Panier alimen...,Développement enfants et familles / Bien Etre Alimentaire,info@cigogne.ca,514 341-0254,associationcigogne.com,Montréal
association de la fibromyalgie - région île de montréal,"Défense et promotion des intérêts des personnes vivant avec la fibromyalgie. Soutien des membres dans leur recherche d'une meilleure qualité de vie, références vers les ressources disponibles. Rens",Santé / Défense des droits,info@fibromyalgiemontreal.ca,438 496-7448,www.fibromyalgiemontreal.ca,Montréal
association iris - hébergements péloquin,Hébergement temporaire pour hommes en détresse situationnelle. Hébergement jusqu'à 120 jours. Suivi clinique et psychosocial.,Soutien aux personnes vulnérables / Logement,hebergement.peloquin@associationiris.ca,514 567-5064,assoiris.ca,Montréal
association iris - programme de soutien à la vie en logement - montréal,Programme de soutien à la vie en logement (PSVL). Centre de jour et local communautaire. Activités favorisant l'autonomie. Écoute et encadrement. Suivi individuel. Visites à domicil,Santé / Soutien aux personnes vulnérables,local.montreal@associationiris.ca,514 388-4699,assoiris.ca,Montréal
association jamaïcaine de montréal,"Soutien à la communauté jamaïcaine. Banque alimentaire. Aide aux immigrant·e·s jamaïcain·ne·s: aide avec le passeport jamaïcain, aide à l'application pour la citoyenneté canadienne, informations et ré...",Autres missions sociales / Bien Etre Alimentaire,info@jam-montreal.com,514 737-8229,jam-montreal.com,Montréal
association pulmonaire du québec - apnée du sommeil - groupe d'entraide montréal,"Groupe d'entraide d'apnée du sommeil. Rencontres virtuelles. Soirée animée par des professionnel·le·s du domaine de l'apnée, présentée sous forme de capsule informative sui",Santé,info@poumonquebec.ca,1 888 768-6669 poste 230,poumonquebec.ca,Montréal
association québécoise des personnes aphasiques,"Information, soutien et référence. Ateliers de conversation, de lecture et d'écriture. Accompagnement et soutien à la communication dans les démarches quotidiennes. Visites amicales. Programme SAPPA: ...",Santé / Soutien aux personnes vulnérables,aqpa@aphasie.ca,514 277-5678,aphasie.ca,Montréal
association québécoise des retraité(e)s des secteurs public et parapublic - région de montréal,"Services aux personnes retraitées ou préretraitées. Défense et promotion des droits et des intérêts économiques, financiers, culturels, intellectuels et socia",Défense des droits / Santé,montreal@aqrp.ca,1 800 653-2747 poste 5,www.aqrp.ca,Montréal
associés bénévoles qualifiés au service des jeunes (les),"Recrutement et formation de bénévoles oeuvrant auprès des jeunes en difficulté dans les milieux scolaires et hospitaliers, les centres jeunesse ou les organismes communautaires.",Développement enfants et familles / Soutien aux personnes vulnérables,info@abqsj.org,514 948-6180,abqsj.org,Montréal
